communication_change ,communication_methods                                          ,communication_topics                                                                                                            ,funding_past_change  ,funding_current                                                                                ,funding_current_change ,funding_management ,funding_past            ,funding_purposes                                                                  ,funding_purposes_change ,governance_change               ,governance_contributors ,governance_contributors_decisions ,governance_disagreements ,governance_method ,governance_new_decision_makers ,legal_current             ,legal_current_change ,legal_current_reason ,legal_past                ,legal_past_reason    ,licenses_current_change ,licenses_current_reason ,licenses_current                             ,licenses_enforcement                           ,licenses_past_change_reason ,licenses_past       ,project_age ,project_type
                     ,chat discussion-list tracker forum social                      ,bug-reports feature-requests support docs roadmap release-announcements                                                         ,                     ,self-funding                                                                                   ,                       ,none               ,                        ,none                                                                              ,                        ,add-formal-leadership-structure ,2-10                    ,some                              ,consensus                ,oligarchy         ,invitation                     ,collective                ,                     ,ecosystem            ,                          ,                     ,                        ,community-governance    ,artistic-1.0-perl gpl-1.0-or-later           ,voluntary                                      ,                            ,                    ,         28 ,L
                     ,chat tracker social                                            ,bug-reports feature-requests support docs roadmap labor-requests open-finances release-announcements                            ,                     ,self-funding collective-funding                                                                ,                       ,monarchy           ,                        ,part-time-pay feature-bounties                                                    ,                        ,                                ,11-50                   ,some                              ,bdfl                     ,oligarchy         ,invitation                     ,collective                ,become-nonprofit     ,values               ,                          ,                     ,better-fit              ,community-governance    ,apache-2.0                                   ,voluntary                                      ,                            ,                    ,          4 ,PL
                     ,chat forum website wiki tracker                                ,bug-reports feature-requests support docs roadmap cve-announcements release-announcements                                       ,                     ,collective-funding self-funding sponsor-funding                                                ,                       ,oligarchy          ,                        ,part-time-pay infrastructure                                                      ,                        ,                                ,51+                     ,some                              ,consensus                ,oligarchy         ,invitation                     ,collective                ,fiscal-or-governance ,historical           ,                          ,                     ,                        ,                        ,bsd-3-clause                                 ,voluntary                                      ,                            ,                    ,         15 ,L
                     ,chat website tracker social                                    ,bug-reports feature-requests support docs roadmap cve-announcements release-announcements                                       ,                     ,collective-funding self-funding                                                                ,                       ,oligarchy          ,                        ,infrastructure                                                                    ,                        ,                                ,11-50                   ,some                              ,                         ,oligarchy         ,invitation                     ,nonprofit                 ,                     ,                     ,                          ,                     ,                        ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,         18 ,L
                     ,tracker                                                        ,bug-reports feature-requests support docs                                                                                       ,                     ,self-funding                                                                                   ,                       ,monarchy           ,                        ,none                                                                              ,                        ,                                ,2-10                    ,some                              ,bdfl                     ,monarchy          ,invitation                     ,individual                ,                     ,                     ,                          ,                     ,                        ,                        ,lgpl-2.1                                     ,voluntary                                      ,                            ,                    ,          1 ,L
                     ,chat social tracker                                            ,release-announcements support bug-reports feature-requests docs                                                                 ,                     ,self-funding collective-funding                                                                ,                       ,oligarchy          ,                        ,infrastructure                                                                    ,                        ,                                ,2-10                    ,some                              ,                         ,monarchy          ,                               ,individual                ,                     ,                     ,                          ,                     ,                        ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,         25 ,L
                     ,tracker forum website wiki chat                                ,bug-reports feature-requests support docs roadmap labor-requests cve-announcements release-announcements                        ,                     ,sponsor-funding                                                                                ,                       ,participatory      ,                        ,full-time-pay professional-services infrastructure                                ,                        ,                                ,51+                     ,some                              ,                         ,oligarchy         ,                               ,corporate-noncore-project ,                     ,                     ,                          ,                     ,                        ,                        ,apache-2.0                                   ,contributor-licensing                          ,                            ,                    ,          4 ,L
                     ,chat tracker social website                                    ,bug-reports feature-requests docs release-announcements support                                                                 ,                     ,collective-funding                                                                             ,                       ,participatory      ,                        ,bug-bounties feature-bounties                                                     ,                        ,                                ,11-50                   ,some                              ,                         ,oligarchy         ,invitation                     ,collective                ,                     ,                     ,                          ,                     ,                        ,                        ,bsd-3-clause                                 ,voluntary                                      ,                            ,                    ,         15 ,L
                     ,chat forum tracker website                                     ,bug-reports feature-requests support docs roadmap funding-requests cve-announcements release-announcements                      ,sponsorship-ended    ,collective-funding sponsor-funding revenue-other-funding                                       ,                       ,monarchy           ,sponsor-funding         ,full-time-pay infrastructure professional-services                                ,                        ,                                ,11-50                   ,some                              ,bdfl                     ,oligarchy         ,invitation                     ,individual                ,                     ,historical           ,                          ,                     ,                        ,hobby                   ,agpl-3.0                                     ,voluntary                                      ,                            ,                    ,         12 ,P
something-tbd        ,tracker social website forum email                             ,bug-reports feature-requests support docs roadmap funding-requests release-announcements                                        ,                     ,collective-funding revenue-support-funding                                                     ,grants-too-little      ,oligarchy          ,                        ,professional-services feature-bounties bug-bounties                               ,fund-contributors       ,expand-decision-making          ,2-10                    ,some                              ,bdfl                     ,monarchy          ,invitation                     ,collective                ,                     ,ecosystem            ,                          ,                     ,better-fit              ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,         11 ,L
                     ,chat forum website tracker social                              ,bug-reports feature-requests roadmap labor-requests funding-requests cve-announcements release-announcements support            ,                     ,collective-funding sponsor-funding                                                             ,                       ,monarchy           ,                        ,full-time-pay infrastructure professional-services                                ,                        ,add-formal-leadership-structure ,11-50                   ,some                              ,bdfl                     ,oligarchy         ,invitation                     ,individual                ,fiscal-or-governance ,values               ,                          ,                     ,forced-pay              ,hobby                   ,bsd-3-clause                                 ,voluntary                                      ,                            ,                    ,         10 ,L
                     ,wiki tracker chat social                                       ,bug-reports feature-requests support docs funding-requests cve-announcements                                                    ,                     ,collective-funding revenue-support-funding                                                     ,grants-too-little      ,monarchy           ,                        ,part-time-pay infrastructure                                                      ,                        ,                                ,2-10                    ,some                              ,                         ,monarchy          ,                               ,individual                ,become-nonprofit     ,values               ,                          ,                     ,forced-pay              ,hobby                   ,agpl-3.0                                     ,voluntary                                      ,more-restrictive            ,apache-2.0          ,          8 ,P
